2020-11-25 22:48:44,030.30  | VALIDATOR  | INFO | ------------------------------------------------
2020-11-25 22:58:44,669.669  | VALIDATOR  | INFO | 136819-instance-250.txt
2020-11-25 22:58:44,669.669  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:45,486.486  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:58:45,486.486  | VALIDATOR  | INFO | CORRECT  Actual value: 173.03
2020-11-25 22:58:45,708.708  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:45,708.708  | VALIDATOR  | INFO | 136819-instance-300.txt
2020-11-25 22:58:45,708.708  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:46,587.587  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:58:46,587.587  | VALIDATOR  | INFO | CORRECT  Actual value: 142.18
2020-11-25 22:58:46,788.788  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:46,788.788  | VALIDATOR  | INFO | 136819-instance-350.txt
2020-11-25 22:58:46,788.788  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:47,656.656  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:58:47,656.656  | VALIDATOR  | INFO | CORRECT  Actual value: 176.16
2020-11-25 22:58:47,857.857  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:47,857.857  | VALIDATOR  | INFO | 136819-instance-400.txt
2020-11-25 22:58:47,857.857  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:48,726.726  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:58:48,726.726  | VALIDATOR  | INFO | CORRECT  Actual value: 352.7
2020-11-25 22:58:48,927.927  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:48,927.927  | VALIDATOR  | INFO | 136819-instance-450.txt
2020-11-25 22:58:48,927.927  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:49,812.812  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:58:49,812.812  | VALIDATOR  | INFO | CORRECT  Actual value: 291.38
2020-11-25 22:58:50,028.28  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:50,028.28  | VALIDATOR  | INFO | 136819-instance-50.txt
2020-11-25 22:58:50,028.28  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:50,891.891  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:58:50,891.891  | VALIDATOR  | INFO | CORRECT  Actual value: 56.59
2020-11-25 22:58:51,091.91  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:51,091.91  | VALIDATOR  | INFO | 136819-instance-500.txt
2020-11-25 22:58:51,091.91  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:51,993.993  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:58:51,993.993  | VALIDATOR  | INFO | CORRECT  Actual value: 474.9
2020-11-25 23:04:41,608.608  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 23:04:41,608.608  | VALIDATOR  | INFO | 136819-instance-100.txt
2020-11-25 23:04:41,608.608  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 23:04:42,465.465  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 23:04:42,465.465  | VALIDATOR  | INFO | CORRECT  Actual value: 99.44
2020-11-25 23:04:42,678.678  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 23:04:42,678.678  | VALIDATOR  | INFO | 136819-instance-150.txt
2020-11-25 23:04:42,678.678  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 23:04:43,543.543  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 23:04:43,543.543  | VALIDATOR  | INFO | CORRECT  Actual value: 77.73
2020-11-25 23:04:43,742.742  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 23:04:43,742.742  | VALIDATOR  | INFO | 136819-instance-200.txt
2020-11-25 23:04:43,742.742  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 23:04:44,643.643  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 23:04:44,643.643  | VALIDATOR  | INFO | CORRECT  Actual value: 190.47
2020-11-25 23:04:44,845.845  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 23:04:44,845.845  | VALIDATOR  | INFO | 136819-instance-250.txt
2020-11-25 23:04:44,845.845  | VALIDATOR  | INFO | 136819-algorithm.exe
